"Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet"
"AMC1","361",2019-10-01,2019-09-24,"1","3","No"
"AMC11","361",2019-10-15,2019-09-24,"3","3","No"
"AMC21","361",2019-10-29,2019-09-24,"5","3","No"
"AMC31","361",2019-11-12,2019-09-24,"7","3","No"
"AMC41","361",2019-11-26,2019-09-24,"9","3","No"
"AMC51","361",2019-12-10,2019-09-24,"11","3","No"
"AMC61","361",2019-12-24,2019-09-24,"13","3","No"
"AMC71","361",2020-01-07,2019-09-24,"15","3","No"
"AMC2","363",2019-10-01,2019-09-24,"1","1","Ab"
"AMC12","363",2019-10-15,2019-09-24,"3","1","Ab"
"AMC22","363",2019-10-29,2019-09-24,"5","1","Ab"
"AMC32","363",2019-11-12,2019-09-24,"7","1","Ab"
"AMC42","363",2019-11-26,2019-09-24,"9","1","Ab"
"AMC52","363",2019-12-12,2019-09-24,"11","1","Ab"
"AMC62","363",2019-12-24,2019-09-24,"13","1","Ab"
"AMC72","363",2020-01-07,2019-09-24,"15","1","Ab"
"AMC3","365",2019-10-01,2019-09-24,"1","3","No"
"AMC13","365",2019-10-15,2019-09-24,"3","3","No"
"AMC23","365",2019-10-29,2019-09-24,"5","3","No"
"AMC33","365",2019-11-12,2019-09-24,"7","3","No"
"AMC43","365",2019-11-26,2019-09-24,"9","3","No"
"AMC53","365",2019-12-10,2019-09-24,"11","3","No"
"AMC63","365",2019-12-24,2019-09-24,"13","3","No"
"AMC73","365",2020-01-07,2019-09-24,"15","3","No"
"AMC4","369",2019-10-02,2019-09-25,"1","1","Ab"
"AMC14","369",2019-10-16,2019-09-25,"3","1","Ab"
"AMC24","369",2019-10-30,2019-09-25,"5","1","Ab"
"AMC38","369",2019-11-13,2019-09-25,"7","1","Ab"
"AMC44","369",2019-11-27,2019-09-25,"9","1","Ab"
"AMC54","369",2019-12-11,2019-09-25,"11","1","Ab"
"AMC64","369",2019-12-26,2019-09-25,"13","1","Ab"
"AMC74","369",2020-01-08,2019-09-25,"15","1","Ab"
"AMC5","371",2019-10-02,2019-09-25,"1","3","No"
"AMC15","371",2019-10-16,2019-09-25,"3","3","No"
"AMC25","371",2019-10-30,2019-09-25,"5","3","No"
"AMC37","371",2019-11-13,2019-09-25,"7","3","No"
"AMC45","371",2019-11-27,2019-09-25,"9","3","No"
"AMC55","371",2019-12-11,2019-09-25,"11","3","No"
"AMC65","371",2019-12-26,2019-09-25,"13","3","No"
"AMC75","371",2020-01-08,2019-09-25,"15","3","No"
"AMC10","373",2019-10-02,2019-09-25,"1","1","Ab"
"AMC20","373",2019-10-18,2019-09-25,"3","1","Ab"
"AMC26","373",2019-10-30,2019-09-25,"5","1","Ab"
"AMC36","373",2019-11-13,2019-09-25,"7","1","Ab"
"AMC46","373",2019-11-27,2019-09-25,"9","1","Ab"
"AMC56","373",2019-12-11,2019-09-25,"11","1","Ab"
"AMC66","373",2019-12-26,2019-09-25,"13","1","Ab"
"AMC76","373",2020-01-08,2019-09-25,"15","1","Ab"
"AMC91","378",2019-10-03,2019-09-26,"1","1","Ab"
"AMC92","378",2019-10-17,2019-09-26,"3","1","Ab"
"AMC93","378",2019-10-31,2019-09-26,"5","1","Ab"
"AMC94","378",2019-11-14,2019-09-26,"7","1","Ab"
"AMC95","378",2019-11-28,2019-09-26,"9","1","Ab"
"AMC96","378",2019-12-12,2019-09-26,"11","1","Ab"
"AMC97","378",2019-12-26,2019-09-26,"13","1","Ab"
"AMC98","378",2020-01-09,2019-09-26,"15","1","Ab"
"AMC6","384",2019-10-03,2019-09-26,"1","3","No"
"AMC16","384",2019-10-16,2019-09-26,"3","3","No"
"AMC27","384",2019-10-31,2019-09-26,"5","3","No"
"AMC34","384",2019-11-14,2019-09-26,"7","3","No"
"AMC47","384",2019-11-28,2019-09-26,"9","3","No"
"AMC57","384",2019-12-12,2019-09-26,"11","3","No"
"AMC68","384",2019-12-26,2019-09-26,"13","3","No"
"AMC77","384",2020-01-09,2019-09-26,"15","3","No"
"AMC7","387",2019-10-04,2019-09-27,"1","1","Ab"
"AMC17","387",2019-10-17,2019-09-27,"3","1","Ab"
"AMC28","387",2019-11-01,2019-09-27,"5","1","Ab"
"AMC35","387",2019-11-15,2019-09-27,"7","1","Ab"
"AMC48","387",2019-11-29,2019-09-27,"9","1","Ab"
"AMC58","387",2019-12-13,2019-09-27,"11","1","Ab"
"AMC67","387",2019-12-27,2019-09-27,"13","1","Ab"
"AMC78","387",2020-01-10,2019-09-27,"15","1","Ab"
"AMC8","396",2019-10-04,2019-09-27,"1","1","Ab"
"AMC18","396",2019-10-18,2019-09-27,"3","1","Ab"
"AMC29","396",2019-11-01,2019-09-27,"5","1","Ab"
"AMC39","396",2019-11-15,2019-09-27,"7","1","Ab"
"AMC49","396",2019-11-29,2019-09-27,"9","1","Ab"
"AMC59","396",2019-12-13,2019-09-27,"11","1","Ab"
"AMC69","396",2019-12-27,2019-09-27,"13","1","Ab"
"AMC79","396",2020-01-10,2019-09-27,"15","1","Ab"
"AMC9","399",2019-10-04,2019-09-28,"1","3","No"
"AMC19","399",2019-10-18,2019-09-28,"3","3","No"
"AMC30","399",2019-11-01,2019-09-28,"5","3","No"
"AMC40","399",2019-11-15,2019-09-28,"7","3","No"
"AMC50","399",2019-11-29,2019-09-28,"9","3","No"
"AMC60","399",2019-12-13,2019-09-28,"11","3","No"
"AMC70","399",2019-12-27,2019-09-28,"13","3","No"
"AMC80","399",2020-01-10,2019-09-28,"15","3","No"
"AMC550","550N",NA,NA,NA,"NegativeControl",NA
"AMC551","551N",NA,NA,NA,"NegativeControl",NA
"AMC552","552P",NA,NA,NA,"PositiveControl",NA
