"","AMC24","AMC29","AMC2","AMC23","AMC25","AMC21","AMC26","AMC28","AMC20","AMC22","AMC27","AMC33","AMC34","AMC36","AMC30","AMC35","AMC37","AMC32","AMC39","AMC38","AMC3","AMC31","AMC46","AMC43","AMC48","AMC40","AMC45","AMC42","AMC49","AMC4","AMC47","AMC44","AMC41","AMC51","AMC53","AMC55","AMC50","AMC5","AMC54","AMC59","AMC58","AMC56","AMC52","AMC57","AMC65","AMC66","AMC61","AMC62","AMC67","AMC60","AMC63","AMC68","AMC69","AMC6","AMC64","AMC71","AMC78","AMC77","AMC79","AMC74","AMC76","AMC7","AMC72","AMC70","AMC75","AMC73","AMC92","AMC9","AMC98","AMC96","AMC8","AMC80","AMC94","AMC95","AMC97","AMC93","AMC91","AMC10","AMC1","AMC18","AMC19","AMC16","AMC12","AMC14","AMC11","AMC13","AMC15","AMC17"
"Acetate ",-0.509459202705691,0.0401906882933682,-0.50184470618036,-0.528019427626836,-0.50092538695985,-0.363204749309771,0.269834093008564,-0.511333403320483,0.41020965288123,-0.516443472201698,-0.503661259787253,-0.513171721028833,-0.400148743017748,-0.503055696470806,-0.507295003636625,-0.498608506138478,-0.505555817106609,-0.486631466457031,0.518442373296711,-0.500225910463637,-0.0193194087238612,-0.402976097758758,-0.113296033683267,-0.489425302925275,0.24013576481785,-0.50151480505228,-0.492314765037116,-0.521030385653932,-0.0458534199047488,-0.503950531183074,-0.50953305340761,-0.501569268961808,-0.496381033128088,-0.499494458665175,-0.49770466027417,-0.50630092001259,-0.175583029062945,-0.16789221199624,-0.498229207142887,-0.501889276218519,-0.469344396259066,-0.11038075661977,-0.489845254906782,-0.510079974685487,0.69088514419071,-0.480062812510159,7.64709181134204e-17,0.314577697278469,-0.530436012606673,-0.507521267192482,-0.2035670833607,-0.576457057521187,-0.500430890323317,-0.493383396469714,0.0202226149353027,-0.398465983568662,0.474512373755766,0.39317460968966,0.065805056476056,0.340579548880845,-0.105824252171703,-0.490900619942304,-0.501633556256978,-0.0929165810737582,0.911473727852556,-0.475457519348231,-0.503340571285305,-0.501334148988698,-0.50589274525977,-0.491375905799224,-0.0108401482075194,-0.52953576285515,-0.49954544813822,-0.502589851588701,-0.496525329156028,-0.499888245703755,-0.49274923224542,0.0908409728368222,-0.493466208848882,0.33899936839459,1.01894482892699,-0.529018499104643,-0.323127865220445,0.131216009974709,-0.037200755794766,0.476729789796289,-0.494564027786221,-0.501394215980244
"Acid Resistance",-0.485823173129834,-0.422002227080366,-0.203975590253953,-0.528019427626836,-0.482130470320247,-0.480862625846739,0.0902699949486157,-0.49647234721387,0.750203239053061,-0.482602446957712,-0.482211227737884,-0.503872568313716,-0.400148743017748,-0.470026061818141,-0.482184992696219,-0.498608506138478,-0.584926354945872,-0.476139295162434,0.0267238336750882,-0.461000222756156,-0.0193194087238612,-0.402976097758758,0.0434443437432079,-0.489425302925275,-0.184719819090653,-0.470760356083902,-0.48739215245333,-0.468728372036735,0.365040862358586,-0.468860539607646,-0.482472995154675,-0.46142278145138,-0.0350976488070366,-0.499494458665175,-0.480889078656387,-0.477224962059307,-0.00905067160118263,0.014901675620968,-0.469148861484188,-0.430190808187302,0.14168887434236,0.295820427740984,-0.47976117268449,-0.484552853558888,-0.126333283509158,-0.480062812510159,7.64709181134204e-17,0.314577697278469,-0.530436012606673,-0.473087670893287,-0.0787126055661375,-0.508638580165754,-0.495479326340768,-0.464899406570432,0.317899506782962,-0.287040845306301,0.207236016293335,0.0613208106855431,0.232430704066803,-0.127081921224196,0.0234124451707309,-0.490900619942304,-0.501633556256978,-0.520332854013046,-0.701133636809659,0.0331714548382488,-0.478390499863835,-0.478635949329761,-0.488200601609023,-0.475643668689939,-0.509486965753414,-0.52953576285515,-0.467210892864733,-0.482004745032668,-0.468576032605395,-0.466211326768269,-0.473524071360526,0.184744000937807,-0.44820310694051,0.0751419919791731,-0.543437242094393,-0.48428531719506,-0.323127865220445,-0.180316194352342,1.67403401076447,0.476729789796289,-0.467566466142828,-0.458283685260448
"Biguanide ",-0.485823173129834,-0.422002227080366,-0.50184470618036,-0.491699586623719,-0.482130470320247,-0.598520502383706,-0.493313323746217,-0.49647234721387,-0.609771105634261,-0.491062703268708,-0.498894585998504,-0.503872568313716,-0.400148743017748,-0.476631988748674,-0.48636999451962,-0.475526327726164,-0.584926354945872,-0.476139295162434,-0.464994705946535,-0.491173828684988,-0.611781276255609,-0.402976097758758,-0.524739524427764,-0.469809912871202,-0.609575402999157,-0.489981886689138,-0.48739215245333,-0.468728372036735,-0.484140654318973,-0.481620536544165,-0.500513033989965,-0.46142278145138,-0.496381033128088,-0.499494458665175,-0.480889078656387,-0.462686983082666,-0.50864774398647,-0.487781515326353,-0.485304609072354,-0.454090297531041,-0.469344396259066,-0.516581940980524,-0.469677090462198,-0.484552853558888,-0.550076171946127,-0.456356006954102,-0.479157423749955,-0.542494871890693,-0.610436198114564,-0.503217067655082,-0.578130516744389,-0.576457057521187,-0.480624634393119,-0.483210542934256,-0.537921557279058,-0.509891121831023,-0.527773966728352,-0.469645267721043,-0.545155651356683,-0.438856234627557,-0.493534344199006,-0.490900619942304,-0.474786385125133,-0.520332854013046,-0.701133636809659,-0.577183314185527,-0.472152982008468,-0.478635949329761,-0.488200601609023,-0.471710609412618,-0.509486965753414,-0.52953576285515,-0.476192713774035,-0.490238787655081,-0.485345610535774,-0.484345052348915,-0.48176342602548,-0.496052952794333,-0.484413588467208,-0.505344236134744,-0.543437242094393,-0.439552135285476,-0.317978417169123,-0.491848398679393,-0.607612344647845,-0.619748726735176,-0.485564840571757,-0.458283685260448
"Multi-biocide Resistance",0.530526098631998,1.42676943441457,0.391762641598862,0.652375404974464,0.744237840413838,-0.0102311196988667,1.16765458330831,0.744425837688343,0.580206445967145,0.541088566672862,0.528323615476867,0.593427452070176,0.732580006447877,0.732252639538864,0.593360475917874,0.555477641357224,0.56594644372344,0.641276947712183,-0.464994705946535,0.592058624160082,1.16560432633963,0.671626829597929,1.02307170265868,0.545286522427093,0.24013576481785,0.526837082327875,0.531588652390364,0.472707873072826,0.830721048923699,0.500899227567819,0.690129529139151,0.767059736367729,-0.496381033128088,1.01783776482715,0.52384192300616,0.642199419142061,0.657078758245867,1.20306194513282,0.527660764705677,0.346542595484215,0.752722144943785,0.702021612101738,0.589151542878487,0.672676637513609,0.751419842538848,0.740837673626787,0.479157423749955,0.434169218557887,1.66956908886035,0.501813524327669,1.41954112796862,0.508638580165753,0.529494418046977,0.522884671722542,0.541157175668706,0.994348244710855,0.519058433332838,0.7913991684946,0.648994823043671,0.496466705582526,0.92806932656777,1.0664392778057,0.800454243637518,0.33449969186553,0.911473727852556,0.948703608373913,0.581987535548633,0.644924933787626,0.602814923520384,0.605947632573359,1.48510030443016,0.703813355693554,0.55851305497755,0.658410158171539,0.54766038997562,0.572592095780198,0.530303971986407,0.583831870366993,0.524953584089489,0.708399695376173,2.58132689994837,0.812976958182872,-0.0553565665517095,1.14369567403763,2.24444559961755,-0.0715094684694433,0.661831529272463,0.560202602994749
"Peroxide ",-0.509459202705691,-0.422002227080366,-0.50184470618036,-0.491699586623719,-0.50092538695985,-0.598520502383706,-0.425976786973737,-0.503902875267177,-0.269777519462431,-0.507983215890701,-0.489361238421007,-0.494573415598598,-0.400148743017748,-0.48984384260974,-0.490554996343021,-0.483220387196935,-0.465870548186978,-0.465647123867836,-0.464994705946535,-0.470052304534805,-0.611781276255609,-0.402976097758758,-0.230851316753124,-0.479617607898239,-0.184719819090653,-0.488059733628614,-0.482469539869544,-0.494879378845333,-0.29238998926275,-0.48640553539536,-0.482472995154675,-0.485510673957637,-0.496381033128088,-0.0659709662387966,-0.49770466027417,-0.477224962059307,-0.342115386524708,-0.487781515326353,-0.482073459554721,-0.501889276218519,-0.469344396259066,-0.313481348800147,-0.469677090462198,-0.493061893934421,-0.398739426075781,-0.456356006954102,-0.479157423749955,-0.442835270824511,-0.530436012606673,-0.477391870430686,-0.578130516744389,-0.508638580165754,-0.47567307041057,-0.477106830812982,-0.463502334317143,0.102947138611964,-0.394135787997136,-0.303718368218985,-0.406300945031061,-0.360912656276717,-0.407376545970716,-0.490900619942304,-0.474786385125133,-0.520332854013046,0.911473727852556,-0.475457519348231,-0.484628017719203,-0.48620201588274,-0.488200601609023,-0.471710609412618,-0.509486965753414,-0.52953576285515,-0.481581806319616,-0.494355808966288,-0.476401835639572,-0.479163987897302,-0.479016974470496,-0.237819625516625,-0.439150486558836,-0.320644072643952,-0.543437242094393,-0.529018499104643,-0.305104797040818,-0.452906873138512,-0.037200755794766,-0.0715094684694433,-0.485564840571757,-0.501394215980244
"Aminocoumarins",-0.450369128766049,-0.422002227080366,-0.203975590253953,-0.391820023865147,-0.397553345442034,-0.0102311196988667,-0.44842229923123,-0.370153370307657,-0.609771105634261,-0.376849243070256,-0.389261088857282,-0.40623146480498,-0.400148743017748,-0.417178646373877,-0.402669958051597,-0.390891673547677,-0.307129472508452,-0.381709753511058,0.0267238336750882,-0.391600929119842,-0.611781276255609,-0.402976097758758,-0.485554430071146,-0.396252200168427,-0.184719819090653,-0.38041916223929,-0.369249450442467,-0.298746827780842,-0.511533606469862,-0.408250554159179,-0.405802830104694,-0.37711515767948,-0.496381033128088,-0.499494458665175,-0.33795663490523,-0.419073046152743,-0.342115386524708,-0.533479987230655,-0.380292249749273,-0.382391829499824,-0.265666639391924,-0.516581940980524,-0.353710144905837,-0.399462449803558,-0.489541473597989,-0.38523559028593,-0.479157423749955,-0.462767191037748,-0.37043564159089,-0.391307879682699,-0.578130516744389,-0.203455432066302,-0.374166008768305,-0.397758573236409,-0.463502334317143,-0.509891121831023,-0.527773966728352,-0.469645267721043,-0.545155651356683,-0.438856234627557,-0.493534344199006,-0.490900619942304,-0.340550529465907,-0.520332854013046,-0.701133636809659,-0.272005929673639,-0.397302767744058,-0.384060117417523,-0.361406905445335,-0.381250246034233,-0.509486965753414,-0.52953576285515,-0.4097272390452,-0.362611127007679,-0.407087580194002,-0.413105416139232,-0.396623427820953,-0.496052952794333,-0.371255833696278,-0.505344236134744,-0.543437242094393,-0.48428531719506,-0.166069699655129,-0.491848398679393,-0.607612344647845,-0.619748726735176,-0.359576219569254,-0.35589617480093
"Aminoglycosides",1.23960698590769,1.8889623497883,2.0300427791941,1.21533294052278,0.960379381769271,2.87238685545685,1.84101995103311,0.967341679287542,-0.269777519462431,1.07408471426564,1.15037454490859,1.17462449676503,0.166215631715065,1.19466752467617,1.0411556710218,1.12483804219432,2.0343013937498,0.982272514786597,1.01016091291833,1.18044393977231,2.35052806140313,0.671626829597929,0.689998400627418,1.14355591907633,0.877419140680605,1.20920141881377,1.13460869390414,0.969577002436205,1.10465057043259,1.20429405869344,0.938180063124384,1.0360412026876,0.887469119835065,3.83574046559861,1.16283402448192,0.874807082768319,0.15748168586058,1.06596652941991,1.00425531855659,1.15912523317134,0.650883266510214,0.0927198355606069,0.962262585103299,1.32361822624189,1.32649947684616,1.22682718752596,0.479157423749955,0.533828819624069,2.62957131495505,1.21415854776726,0.170996350022988,2.10237279801845,1.10882740400527,1.10680646465783,0.876043678997322,0.715785399054952,0.942245999315022,0.824584548395011,1.09332988328566,0.938146982903954,0.475740885869251,1.4557742522427,1.41793917966996,1.18933223774411,0.911473727852556,1.55905837739769,1.16519545502549,1.36748428959712,1.03037506174677,0.952056848977615,1.98374712197606,1.62882519460508,1.10281140208125,1.09893143847064,1.11335415216043,1.06867901702217,1.09744621809076,1.02987125384667,1.32611048786768,1.02502854707467,1.01894482892699,1.14847582250475,0.946211079430386,0.9879295718741,1.38882821633793,0.476729789796289,1.17028560688971,1.15836121673193
"Bacitracin",-0.509459202705691,0.0401906882933682,-0.203975590253953,-0.509859507125277,-0.472733012000445,-0.598520502383706,-0.38108576245875,-0.489041819160563,-0.609771105634261,-0.474142190646715,-0.47506121705476,-0.466675957453245,-0.400148743017748,-0.48984384260974,-0.473814989049416,-0.498608506138478,-0.584926354945872,-0.465647123867836,-0.464994705946535,-0.473069665127688,-0.611781276255609,-0.402976097758758,-0.485554430071146,-0.499232997952312,-0.609575402999157,-0.474604662204949,-0.497237377620902,-0.494879378845333,-0.429354750017195,-0.47683553769297,-0.482472995154675,-0.485510673957637,-0.496381033128088,-0.499494458665175,-0.464073497038604,-0.50630092001259,-0.342115386524708,-0.442083043422051,-0.482073459554721,-0.501889276218519,-0.265666639391924,-0.516581940980524,-0.489845254906782,-0.510079974685487,-0.247402680205435,-0.456356006954102,-0.479157423749955,-0.303311829331857,-0.450435827098781,-0.481696069968085,-0.453276038949826,-0.508638580165754,-0.485576198375669,-0.47507226010589,-0.463502334317143,-0.621316260093385,-0.371862758208601,-0.237347608418162,-0.545155651356683,-0.38689384906033,-0.407376545970716,-0.490900619942304,-0.501633556256978,-0.520332854013046,-0.701133636809659,-0.577183314185527,-0.484628017719203,-0.478635949329761,-0.488200601609023,-0.469744079773958,-0.509486965753414,-0.52953576285515,-0.477989077955895,-0.494355808966288,-0.476401835639572,-0.476573455671495,-0.485883103357958,-0.425625681718595,-0.457255727322185,-0.399801285568577,-0.543437242094393,-0.529018499104643,-0.297380624963836,-0.491848398679393,-0.607612344647845,-0.619748726735176,-0.449568091713899,-0.458283685260448
"Beta-lactams",3.2486694998555,4.43102338434384,3.07258468493653,2.96776526892317,3.04191639960529,3.16653154679927,1.10031804653583,3.44170752103866,1.09019682522489,3.16376802308177,3.28346106537369,3.36457496117526,3.84758406747835,3.36801748482153,3.2424666301308,3.18299895062571,3.22485946133875,3.58433099584674,3.46875361102645,3.29259635479055,1.75806619387138,-0.402976097758758,1.29736736315501,3.02663336426737,4.27626381194863,3.34663562211607,2.9756658002401,2.81322298244243,1.04986466613081,3.35913854134814,3.13455479132089,2.79044270689332,3.42452773360084,1.23459951104034,3.134460969167,2.79382030768495,1.98933761793997,1.38585583275002,3.23697963524118,2.70064229584251,0.854561023377356,1.71752457300362,3.11521413956269,2.93182685721764,0.811954540886987,2.74406274311362,2.39578711874977,1.03212682495498,3.1095724280024,3.45234230721493,0.920123216790366,3.66219777719342,3.11668659892909,3.19020686871964,1.21093018232594,2.05288705820329,1.18724932698892,1.02369682779748,1.17664270708104,0.8342222117695,1.74656840973652,1.84510922667969,3.02876944758067,2.47158105656197,0.911473727852556,2.88149371028254,3.24540765979054,3.37627495941306,3.35689195182002,3.10737333294957,0.737130078111322,2.86217431315379,3.38060118468022,3.23154847767562,3.35376976365917,3.38331956078042,3.37288133139564,1.19420155302339,3.1049503928667,1.23611444820701,1.01894482892699,2.80360355315935,1.17793624173987,0.9879295718741,1.10362242191139,2.12144756459349,3.19060313653698,3.06061338474296
